,secID,code
1004,002493.XSHE,2493
1005,002494.XSHE,2494
1006,002495.XSHE,2495
1007,002496.XSHE,2496
1008,002497.XSHE,2497
1009,002498.XSHE,2498
1010,002499.XSHE,2499
1011,002500.XSHE,2500
1012,002501.XSHE,2501
1013,002502.XSHE,2502
1014,002503.XSHE,2503
1015,002504.XSHE,2504
1016,002505.XSHE,2505
1017,002506.XSHE,2506
1018,002507.XSHE,2507
1019,002508.XSHE,2508
1020,002509.XSHE,2509
1021,002510.XSHE,2510
1022,002511.XSHE,2511
1023,002512.XSHE,2512
1024,002513.XSHE,2513
1025,002514.XSHE,2514
1026,002515.XSHE,2515
1027,002516.XSHE,2516
1028,002517.XSHE,2517
1029,002518.XSHE,2518
1030,002519.XSHE,2519
1031,002520.XSHE,2520
1032,002521.XSHE,2521
1033,002522.XSHE,2522
1034,002523.XSHE,2523
1035,002524.XSHE,2524
1036,002525.XSHE,2525
1037,002526.XSHE,2526
1038,002527.XSHE,2527
1039,002528.XSHE,2528
1040,002529.XSHE,2529
1041,002530.XSHE,2530
1042,002531.XSHE,2531
1043,002532.XSHE,2532
1044,002533.XSHE,2533
1045,002534.XSHE,2534
1046,002535.XSHE,2535
1047,002536.XSHE,2536
1048,002537.XSHE,2537
1049,002538.XSHE,2538
1050,002539.XSHE,2539
1051,002540.XSHE,2540
1052,002541.XSHE,2541
1053,002542.XSHE,2542
1054,002543.XSHE,2543
1055,002544.XSHE,2544
1056,002545.XSHE,2545
1057,002546.XSHE,2546
1058,002547.XSHE,2547
1059,002548.XSHE,2548
1060,002549.XSHE,2549
1061,002550.XSHE,2550
1062,002551.XSHE,2551
1063,002552.XSHE,2552
1064,002553.XSHE,2553
1065,002554.XSHE,2554
1066,002555.XSHE,2555
1067,002556.XSHE,2556
1068,002557.XSHE,2557
1069,002558.XSHE,2558
1070,002559.XSHE,2559
1071,002560.XSHE,2560
1072,002561.XSHE,2561
1073,002562.XSHE,2562
1074,002563.XSHE,2563
1075,002564.XSHE,2564
1076,002565.XSHE,2565
1077,002566.XSHE,2566
1078,002567.XSHE,2567
1079,002568.XSHE,2568
1080,002569.XSHE,2569
1081,002570.XSHE,2570
1082,002571.XSHE,2571
1083,002572.XSHE,2572
1084,002573.XSHE,2573
1085,002574.XSHE,2574
1086,002575.XSHE,2575
1087,002576.XSHE,2576
1088,002577.XSHE,2577
1089,002578.XSHE,2578
1090,002579.XSHE,2579
1091,002580.XSHE,2580
1092,002581.XSHE,2581
1093,002582.XSHE,2582
1094,002583.XSHE,2583
1095,002584.XSHE,2584
1096,002585.XSHE,2585
1097,002586.XSHE,2586
1098,002587.XSHE,2587
1099,002588.XSHE,2588
1100,002589.XSHE,2589
1101,002590.XSHE,2590
1102,002591.XSHE,2591
1103,002592.XSHE,2592
